"Z"	"vertebrates"	"diversity"	"stability"	"richness"	"biomass"
1.0	false	0.4794861324858089	-4.451347950334187	0.46855	1.0365630041469245
10.0	false	0.597377546133378	-4.928484958269171	0.45	1.043618303615694
100.0	false	0.6717138530887872	-4.95801298216728	0.6	1.069760199011171
1000.0	false	0.5431355909422678	-4.599048831517219	0.5081	1.0424783503825497
0.001	true	0.4451245858550163	-1.4542649361098523	0.3899	1.0357443202515297
0.01	true	0.5981040017008363	-4.618907968191364	0.3	1.0434733392221471
0.1	true	0.7444873723121186	-2.7086502008503857	0.45	1.0465060785856235
1.0	true	0.6941294229561483	-3.5456193591511513	0.4	1.0457471402804022
10.0	true	0.6495607561379186	-2.699099485059925	0.35	1.0447715507838227
100.0	true	0.5372434889373536	-5.935679413913364	0.25	1.0416612827139486
1000.0	true	0.6495607533618978	-4.504965617333985	0.35	1.0447715482314706
0.001	false	0.46275642597292066	-7.968055841634711	0.2	1.0389550483002103
0.01	false	0.3639426265819379	-6.8282937760752445	0.4	1.031494262494419
0.1	false	0.6696239311198626	-3.072449145089574	0.65945	1.0662597923039476
1.0	false	0.5998899489653118	-6.381151818500448	0.35	1.0631603970537933
10.0	false	0.559670825906484	-5.87656390520681	0.4	1.063662711996679
100.0	false	0.49402122373794316	-6.369465351755187	0.35	0.49018253582135435
1000.0	false	0.5977080951444098	-5.122667093807266	0.4986	1.0436010952711803
0.001	true	0.5981593322892647	-5.340628656652909	0.35	1.0434347026278135
0.01	true	0.44432336675433715	-5.067012803376104	0.25	1.035748372999056
0.1	true	0.29587190773129574	-0.8293284015272826	0.25	1.0210914005845226
1.0	true	0.6551270897837173	-2.8075023934743504	0.35	1.0447715050581163
10.0	true	0.3071596616916938	-1.8641271036503728	0.35	1.0157228939843133
100.0	true	0.5433425960523204	-2.1312254874481535	0.3	1.0378677091883732
1000.0	true	0.6495607067415765	-3.3314433504474517	0.35	1.0447715464126541
0.001	false	0.49355623679184246	-3.4226484482609747	0.51375	1.039199631940654
0.01	false	0.43886962156033527	-3.51760323173813	0.5	1.0161492792639584
0.1	false	0.32161751282613377	-6.618824387635503	0.4	1.0272473007916698
1.0	false	0.5349461385231177	-4.715409243807108	0.45	1.056221093991539
10.0	false	0.6078130394381454	-5.912835593409193	0.35	1.0667043884401435
100.0	false	0.49498578947558663	-4.763421250901945	0.5	1.040684430687036
1000.0	false	0.559370734412639	-5.364299261880015	0.5	1.05201535998789
0.001	true	0.5999467735329764	-4.535269093823034	0.35	1.0413387934849703
0.01	true	0.7383561881993798	-0.49115881942919976	0.45	1.0464907657298652
0.1	true	0.4450865795648528	-5.715198039572892	0.3	1.0353201776858514
1.0	true	0.3667705109028461	-7.332615381442038	0.15	1.0344758725171492
10.0	true	0.5981039362574555	-3.6678369724321227	0.3129	1.043473332015526
100.0	true	0.23761323012008004	-1.1828315945052443	0.2	0.8476574486467537
1000.0	true	0.5302643918521208	-6.784929988972681	0.3	1.0397678320283794
0.001	false	0.42274729627511776	-6.029022351887422	0.36065	1.0329008880348454
0.01	false	0.6495607179642056	-3.5751766954799082	0.44349999999999995	1.0447715500950114
0.1	false	0.5020018126428221	-5.671366043010664	0.40075000000000005	1.0565828793112038
1.0	false	0.5156883133512381	-7.250490440666292	0.3	1.0407747919932344
10.0	false	0.5096095714537046	-6.653985498609454	0.35	1.0405774206538123
100.0	false	0.502696980360456	-5.238672684736025	0.45	1.0393336990907824
1000.0	false	0.6887242143577454	-3.6353728052705394	0.5	1.0458233482148835
0.001	true	0.6943396271448112	-2.2112952393789	0.4	1.0457473276221927
0.01	true	0.26056215252359766	-6.99626066816347	0.2	0.9420109184858476
0.1	true	0.6495604649933827	-3.467111288806529	0.35	1.0447715374803563
1.0	true	0.6097428655384749	-4.239311505179919	0.35	1.0434344199224952
10.0	true	0.6495604566013264	-2.362304917175832	0.35	1.0447715368286274
100.0	true	0.43535939631516934	-3.836276495649217	0.4	1.0199110355165275
1000.0	true	0.49237612476961584	-1.6903757976839198	0.35	1.035315103279536
0.001	false	0.564817915527563	-4.989038752803251	0.42415	1.042384689561076
0.01	false	0.5639235678884114	-4.366100837629872	0.5942000000000001	1.060420758052866
0.1	false	0.36480636061575045	-7.608898172081185	0.3	0.7564723822354078
1.0	false	0.5035577517055986	-5.539726441630138	0.4095	1.05434959080381
10.0	false	0.7093976829291792	-2.3182305592973096	0.65	1.0570158531861549
100.0	false	0.4018366643841651	-5.3214515853750965	0.5	1.0464138249457542
1000.0	false	0.6792274189238087	-3.236720689379736	0.6309	1.0455951945895066
0.001	true	0.6552637383542765	-3.194473502233291	0.35	1.0447715474626524
0.01	true	0.38779850267288596	-1.859655349598405	0.45	1.0281376466006473
0.1	true	0.6219557551033328	-0.593024437188486	0.25	1.0378806671687713
1.0	true	0.18015742096962287	-3.6676700615372964	0.25	0.6507783675327106
10.0	true	0.36707065812081413	-8.229347620361217	0.2	1.034327937133697
100.0	true	0.44432838268407493	-3.3646393711047	0.25	1.0357480064440285
1000.0	true	0.598176934387586	-5.842972067332331	0.3	1.0434733356579657
0.001	false	0.47169192457437326	-4.422120276163283	0.55	1.0387008900128
0.01	false	0.6892023654059711	-4.495745336220404	0.6	1.0631160513436246
0.1	false	0.49692834007105774	-5.768445406485592	0.4542	1.0401729371143744
1.0	false	0.34165067818374745	-7.464012074789042	0.25	0.6269314077286359
10.0	false	0.5852690706237242	-6.287626467430188	0.45	1.0430464285078698
100.0	false	0.6556694989899945	-2.9081963720254556	0.6	1.0569217009658427
1000.0	false	0.4171011488450855	-4.447541994053064	0.37715	1.0066920386813372
0.001	true	0.64965128302689	-4.555266419525159	0.35	1.044771549377054
0.01	true	0.5372435733700346	-7.347770551824965	0.25	1.04166128590335
0.1	true	0.5981040021551708	-3.4872688521863204	0.3	1.0434733362299562
1.0	true	0.6036357002594294	-2.4304748022143157	0.35	1.043435879208462
10.0	true	0.655524072144788	-3.562234257604127	0.35	1.0447715499341292
1000.0	true	0.5982090935108066	-4.817903898789175	0.35	1.0433889884456904
0.001	false	0.4816680403290959	-5.092977836897078	0.35	1.062380164299632
0.01	false	0.43582626034420907	-6.2761466162299	0.4	1.0360901439295402
0.1	false	0.5148425963344404	-5.743762987332746	0.3	0.6934844319925377
1.0	false	0.49274919843524867	-5.423612069964586	0.45	1.0580558497738226
10.0	false	0.5411307371377567	-4.09812605399761	0.45	1.0010652018076462
100.0	false	0.5357265087924835	-6.959451550734256	0.35	1.0418416034536904
1000.0	false	0.6412870848319842	-4.5322594691044085	0.4	1.0445632823808773
0.001	true	0.6045928531766275	-4.794268208276945	0.4	1.0433774153820095
0.01	true	0.47949630243171465	-1.7725633303176882	0.45	1.019927404967582
0.1	true	0.6495605391913334	-2.7247210116295415	0.35	1.0447715385646572
10.0	true	0.6495605931880737	-5.716920425728204	0.35	1.044771541546482
100.0	true	0.6047137876547867	-3.825836009679769	0.4178	1.0432861801646853
1000.0	true	0.598104003264175	-3.4551043636583314	0.3	1.043473338987373
